"id";"year";"content";"number";"hassorted"
1;1784;"自1784年美国商船“中国皇后”号循南中国海到达广州,中美就在南海结下“不解之缘”。";"753";1
2;1842;"美国先于1835年勘探了西沙群岛,后于1842年勘察了南沙群岛。";"336";2
3;1898;"法国对南海的侵犯始于1898年越南殖民政府在西沙建立渔货供应站的企图。";"334";3
4;1901;"日本对南海诸岛的侵犯始于1901年日本商人西泽吉次窃取东沙鸟粪。";"335";4
5;1905;"越南外交学院外交与战略研究所的黄英俊(HoangAnhTun)指出,新近发现的1905年的清朝版图中,并没有包括西沙群岛和南沙群岛。";"112";5
6;1905;"1904、1905年,清政府两次修订《大清天下中华名省府州县厅地理全图》,将代表东沙、西沙群岛的“万里长沙”和代表中沙、南沙群岛和“万里石塘”以“府”的图例标记列入中国版图。";"343";6
7;1925;"1879年版《中国海目录》和1925年版《亚洲航海》都表示太平岛上的水质比其他地方的都要好。";"304";7
8;1929;"包括宋朝和清朝的渔民航海日记中记载的在太平岛上最早的人类活动；世界各地的文件、研究以及调查中关于太平岛上人类活动的记录；1879年版《中国海指南》和1925年版《亚洲航海》把太平岛作为航行据点；清朝开始有人居住太平岛,在太平岛上有墓地、墓碑为证；日本ＲosaPhosphate公司1921-1929年在太平岛上开采鸟粪石等。";"303";8
9;1931;"1931年法国致函中国驻巴黎公使馆,宣称对西沙拥有主权。";"338";9
10;1933;"1930、1932、1933年,法国殖民者先后武力强占南沙南威岛、西沙永兴岛,以及南沙安婆沙洲、双子岛、太平岛、南钥岛、中业岛等多个岛屿和岩礁,摧毁了岛上原有的中国建筑,并赶走岛上的中国渔民。";"337";10
11;1933;"1933年,法国外交部发布占领南沙群岛的公告,将南沙划入越南巴地省管辖。";"340";11
12;1933;"1933年,日本首次宣称对南沙群岛拥有主权。";"341";12
13;1933;"1933年7月发生法国侵占南沙九个小岛(太平岛、南威岛、中业岛、南钥岛、安波沙洲、双子礁等)事件之后,中国官方和民间各界强烈抗议。";"852";13
14;1934;"其后,在1813―1934年间,英国人先后通过测量、调查、命名、勘探矿藏等方式进犯中国南海诸岛34次,侵犯活动遍及东沙、西沙、中沙、南沙四大群岛。";"333";14
15;1935;"“九小岛案”后,民国政府于1933年专门成立了“水陆地图审查委员会”,并于1934年公布了132个南海岛礁的中英地名,于1935年出版了《中国南海各岛屿图》。";"344";15
16;1935;"20世纪上半叶,在全球性的扩大海洋管辖权的历史背景下,中国“水陆地图审查委员会”详细列出了南海的岛、礁、滩、沙,对中、英文地名进行了审定,并于1935年4月出版了《中国南海岛屿图》,确定了中国最南疆域在北纬4度。";"819";16
17;1935;"1935年4月,中国政府水陆地图审查委员会出版的《中国南海岛屿图》,把曾母暗沙标绘在南海岛屿的最南端,大约北纬4度附近。";"826";17
18;1935;"1935年4月,该委员会出版的《水陆地图审查委员会会刊》第1期登载《中国南海各岛屿图》,明确标绘了南海诸岛,将曾姆滩(今曾母暗沙)标在接近北纬4度的位置上,表明中国政府认为其领土最南端至少应在北纬4度。";"853";18
19;1937;"1937年日本侵略军占据东沙。";"342";19
20;1938;"1932年与1938年,法国殖民政府先后两次宣布西沙归属越南承天省。";"339";20
21;1945;"1945年的《开罗宣言》和《波茨坦公告》等国际文件明确规定把被日本窃取的中国领土归还中国,其中即包括南海诸岛。";"127";21
22;1946;"1946年,中国政府派员赴南沙群岛接收,在岛上举行了接收仪式并立碑纪念。";"128";22
23;1946;"1946年,菲律宾基于安全理由首次提出占领南沙群岛的要求。";"146";23
24;1946;"1946年,中国从日本手中夺回被侵占的南海诸岛,并在岛上树立起主权碑。";"571";24
25;1946;"1946年,根据《开罗宣言》和《波茨坦公告》精神,中国内政部委派肖次尹和麦蕴瑜分别为西沙群岛和南沙群岛专员,前往接管西沙群岛和南沙群岛,并在岛上立主权碑。";"829";25
26;1946;"当时的民国政府于1946年10月至12月,对日本侵占的南海诸岛进行接收,进驻主岛,测土定名,树碑立标,恢复行使主权。";"820";26
27;1946;"1.菲律宾独立前后对南沙群岛所属问题充满了矛盾态度,一方面承认南沙群岛为中国领土,另一方面妄图侵占南沙群岛1946年11月,中国国民政府通过绘制地图、公布标准地名、海军巡视等方式,确认南沙群岛归我版图,菲律宾并未提出任何异议。";"648";27
28;1946;"1946年7月23日,刚刚独立的菲律宾政府即表示,出于国家安全的考虑,菲律宾拟将位于巴拉望(Palawan)岛以西200海里处的南沙群岛“纳入国防范围”。";"141";28
29;1947;"1947年,中国内政部重新命定南海诸岛全部岛礁沙滩名称,共119个。";"129";29
30;1947;"二战后中国从日本手中收回南海诸岛后,于1947年正式公布了显示主权的南海11条断续国界线图和相关岛屿名称。";"151";30
31;1947;"经过重新调整核定,1947年国民政府内政部正式公布了南海诸岛的名称,以命名的方式行使对中国南海诸岛的主权。";"821";31
32;1947;"1947年,中国内政部重新命名包括南沙群岛在内的南海诸岛全部岛礁沙滩名称共159个,将南海归入广东省管辖。";"830";32
33;1947;"从现有的资料看,如果从南海断续线最初出现的时间1914年算起,它的存在到今天已经将近100年了,比《联合国海洋法公约》生效时间要早80年,或者,若仅仅从中国政府官方正式公布的时间1947年算起,到今天也已经有65年了,也比《联合国海洋法公约》生效时间早了47年。";"899";33
34;1948;"1948年,中国政府正式公布画有断续线的《南海诸岛位置图》,宣布西沙和南沙归中国所有,当时并无国家提出异议,菲律宾也未曾反对。";"181";34
35;1948;"早在1948年,中国政府就颁布《南海诸岛位置图》,将南沙群岛囊括在内。";"201";35
36;1948;"1948年初,内政部方域司又将此图收入《中华民国行政区域图》公开发行,以向世人公布中国政府对南海诸岛及其附近海域的主权和管辖权范围。";"326";36
37;1948;"南海断续线是中国政府于1948年正式公布的。";"859";37
38;1948;"1948年2月,中国政府首次公开出版发行了《中华民国行政区域图》,在南海海域标绘了上述四组群岛的位置,同样也标绘了十一条断续线。";"822";38
39;1949;"1949年解放后,在中华人民共和国出版的各种地图上,都继续标出这条断续线,以示中国南海疆域的范围。";"327";39
40;1949;"1949年新中国政府对断续线的承继,保持和维护了中国在南海的岛屿主权和相关海洋权益主张的历史连续性和有效性。";"860";40
41;1949;"仅仅以南海断续线为例,1949年之前中国国民政府就已经对南沙群岛等岛礁进行官方正式命名并公布了附有南海断续线的地图,还通过派遣军舰前往南海宣示主权,组织和管理南海渔业等海洋资源的开发利用等多方面的实践,主张中国在南海的权利。";"897";41
42;1949;"1949年之后的中国政府也继承了民国政府的主张,一直在官方地图上继续标示南海断续线,并且也通过立法等多方面的实践,重申和巩固了对南海的权利主张。";"898";42
43;1950;"②1950年,菲律宾总统基季里诺(Quirino)宣称,如果南沙群岛落入敌国手中,将威胁菲律宾的国家安全。";"142";43
44;1950;"1950年1月29日,针对菲律宾制造的“临近原则”,中国外交部发表抗议声明：南中国海的太平岛和南威岛,以及它们附近的一些小岛,统称南沙群岛。";"659";44
45;1950;"1950年5月,菲律宾总统季里诺说：“根据国际公法,该群岛应该属于最邻近的国家,而距离团沙群岛（南沙群岛）最近的国家就是菲律宾。";"650";45
46;1950;"1950年5月19日,中国政府针对菲律宾提出的以“国家安全原则”为借口侵占南沙群岛的图谋,发表强烈声明：“菲律宾挑衅者及其美国支持者必须放弃他们的这种冒险计划,否则必然引起严重的后果。";"658";46
47;1951;"③1951年《旧金山合约》签署后,菲律宾声称,根据该条约有关日本放弃南沙?西沙群岛所有权的规定,④南海有关岛屿已经处于盟军“托管”之下,菲律宾政府及其国民应有权进入这一开放的海域,⑤并以此为由单方面将南沙群岛列入“国防范围”。";"147";47
48;1951;"但新中国成立后,以美国为首的西方国家从反对所谓的“共产主义威胁”出发,在由其主导制定的1951年《旧金山和约》中并没有对此前战时国际文件关于南海诸岛主权归属问题进行追认,而只是模糊地表示日本放弃侵占。";"321";48
49;1951;"实际上,早在1951年的旧金山和会上,日本就已经宣布放弃对南沙和西沙的一切权利。";"680";49
50;1951;"1951年,为了防止中国大陆从中得利,美国在主持草拟、制定、召集《旧金山对日和约》的过程中,都涉及到了西沙和南沙群岛问题,明确规定日本放弃其对西沙和南沙两群岛的“权利、权利根据与要求”,但却没有明确两者的主权归属,也没有明确中国收回主权。";"831";50
51;1951;"1951年2月17日,菲律宾国会通过“领海基线法案”,将黄岩岛和南沙群岛部分岛礁划为菲律宾领土。";"832";51
52;1951;"1951年3月5日,马来西亚总理巴达维登陆南沙群岛的弹丸礁和光星仔礁,以总理兼国防部长的身份宣称马来西亚对这些岛礁拥有“主权”。";"833";52
53;1951;"1951年3月8日,美海军监测船“无瑕”号在中国南海频繁进行非法间谍活动。";"834";53
54;1951;"1951年8月15日,周恩来针对旧金山会议发表声明：“草案又故意规定日本放弃对南威岛和西沙群岛的一切权利而亦不提归还主权问题。";"655";54
55;1951;"1951年9月,在由美英主导的旧金山会议上,对南海诸岛的主权归属问题未给予明确规定,其目的正如美国参谋长联席会议所说：只有如此才能确保“对日和约”文本不会引申出这样的结论,即“共产党中国”对西沙、南沙群岛拥有主权。";"643";55
56;1951;"3,南越当局继承法国“衣钵”,侵占南海岛礁在1951年9月的旧金山会议上,南越当局发表了对南海诸岛所谓的主权声明,中国政府和台湾当局因故未出席,致使南越当局的声明未能得到反驳,并在会议上得到保留。";"654";56
57;1952;"1952年4月28日,在美国主导下,日本与台湾当局签署了《日华和约》,其中第二条写到：“兹承认依照公历1951年9月8日在美利坚合众国金山市签订之对日和平条约第二条（以下简称金山和约）,日本国业已放弃对于台湾及澎湖群岛以及南沙群岛及西沙群岛之一切权利、权利名义和要求。";"645";57
58;1953;"1953年,菲律宾颁布的宪法也没有将南沙群岛纳入版图。";"182";58
59;1954;"1953年3月21日,美国人理说?阿普盖特等3人驾驶美国“克特号”游艇,侵入我广东领海进行侦察活动,当即被人民解放军海防部队扣留决⑷1954年7月23日,一架英国运输机在海南岛榆林港上空发生意外,26日美国以“救援”为借口派遣包括2艘航空母舰及若干艘驱逐舰的混合编队进入我国海南岛东部附近海面,“九时二十五分由舰上起飞的美国战斗机四架侵入我国榆林港上空。";"656";59
60;1955;"⑥此外,菲律宾1955年向联合国国际法委员会提交的有关领海范围的声明,并未出现与南沙群岛有关的内容。";"152";60
61;1955;"1950年5月,中国人民解放军进驻永兴岛,法国派遣了一支600余人的部队进驻西沙南部岛屿,阻止中国军队登陆；10月14日,法国将西沙群岛防卫权交给南越当局;1951年,法国驻远东海军司令部曾派遣测量人员前往西沙、南沙群岛测量,因天气恶劣,只到了西沙群岛,而未达南沙群岛；⑹1953年,5艘法国舰艇和1艘运输船运载上百人分别于琛航岛、晋卿岛、甘泉岛、羚羊礁等地登陆,非法设立航标；1955年6月,1艘法国登陆舰在永兴岛登陆,并设置了水泥主权牌。";"647";61
62;1956;"1956年,托马斯・克洛马(TomasCloma)“发现”南沙群岛,宣称已与新西兰等国就磷矿销售达成协议,数十吨的磷矿已经集中待运至新西兰等国的公开消息记载了菲律宾谋取南海经济利益的第一次行动。";"143";62
63;1956;"菲律宾对南沙群岛的“发现”主要基于1956年的“克洛马事件”。";"148";63
64;1956;"20世纪50年代初,菲律宾政府对南海诸岛及其附近海域拓展“主权”,出现了民间团体占领、开发太平岛的行动,还发生了1956年托马斯・克洛马（TomasCloma）“发现、占有”南沙群岛部分岛屿事件。";"226";64
65;1956;"1956年菲律宾政府的一个专门委员会在对南沙群岛的法律地位进行讨论后,认为该群岛“并不处在菲律宾的领土范围以内”,而是为中国所管辖。";"649";65
66;1956;"除此之外,1956年越南外交部官员在外交场合也曾经承认西沙群岛和南沙群岛在宋朝就属于中国。";"895";66
67;1956;"1956年3月,菲律宾马尼拉航海学校校长克洛马(TomasCloma)率40名船员先后登上了北子礁、南子礁、中业礁、南钥岛、西月岛、太平岛、敦谦沙洲、鸿庥岛、南威岛等9个南沙岛屿,自称“发现”并“占领”了这些岛屿,在岛上留下木牌,上书“该岛为菲律宾马尼拉克洛马等人声称所有,是自由地之组成部分”①。";"183";67
68;1956;"⑵1956年3月,马尼拉海运学校校长托马斯?克洛马派出40多人的“远征队”到南沙群岛“探险”,并竖立了主权牌,宣称其“发现”了“无主之岛”的“自由地”,菲律宾政府继而宣称这些岛屿“既无所属”,菲律宾“有权予以占领”（3)。";"651";68
69;1956;"1956年5月,克洛马致信菲律宾副总统兼外长加西亚,表示已占领南沙诸岛,并将其命名为“卡拉延群岛”,又称“自由地”。";"184";69
70;1956;"例如,早在1956年6月,美国参谋长联席会议便在一份报告中指出,“南海主权争议与美国利益相关性低”,美国“不会在中、菲、越领土争端各方之间选边站,而是要做一个中立的仲裁者”。";"1";70
71;1956;"1956年6月26日,美军参谋长联席会议认为,“南海主权争议问题与美国利益相关性低”,“美国不会在中菲越领土争端各方选边站,而是做一个中立的仲裁者”。";"227";71
72;1956;"1956年6月15日,越南副外长雍文谦接见中国驻越南使馆临时代办李志民时,郑重表示：“根据越南方面的资料,从历史上看,西沙群岛和南沙群岛应当属于中国领土。";"652";72
73;1956;"1956年7月7日,《马尼拉日报》上刊载文章,肯定地承认南沙群岛一直属于中国领土。";"661";73
74;1956;"2.面对南越当局的入侵行为,中国政府多次发表主权声明和抗议针对1956年8月南越当局军队侵占南沙岛礁,《人民日报》发表文章指出：“南沙群岛如同西沙群岛、中沙群岛和东沙群岛一样,一向是而且永远是中国领土的一部分。";"657";74
75;1958;"1958年前后发生台海危机,外部势力干涉台湾事务,频频骚扰中国东南海域和南海诸岛,并觊觎中国大陆。";"662";75
76;1958;"最早表明这一立场的正式文件是1958年《中华人民共和国政府关于领海的声明》,该声明规定了中华人民共和国的12海里领海宽度,并宣布此项规定适用于“中华人民共和国的一切领土,包括中国大陆及其沿海岛屿,和同大陆及其沿海岛屿隔有公海的台湾及其周围各岛、澎湖列岛、东沙群岛、西沙群岛、中沙群岛、南沙群岛以及其他属于中国的岛屿。";"825";76
77;1958;"即使不说悠久的历史,仅说新中国成立以来的情况,中国早在1958年就已经明确地将南海四个群岛连同其他岛屿领土都规定在中国的领土范围之内了。";"891";77
78;1958;"1958年9月4日,中国政府发表关于领海宽度为12海里的声明,规定领海制度适用于中国一切领土,包括南海诸岛。";"653";78
79;1958;"早在1958年9月4日,中国政府发表《关于领海的声明》,其中除了重申包括西沙群岛和南沙群岛在内的诸多岛屿属于中国领土之外,还规定了这些岛屿拥有从领海基线测量起宽度为12海里的领海。";"894";79
80;1959;"1959年,中国政府于西沙永兴岛设置“西南中沙群岛办事处”,开始行使南海主权。";"511";80
81;1959;"1959年,国务院组织外交部、公安部、内务部总参测绘局、国家测绘总局和中国科学院等单位编制出版《中华人民共和国边界地图集》,其中标明曾母暗沙为中国最南领土。";"664";81
82;1959;"西方学者在分析1959年中国政府对南越侵扰西沙群岛的反应时说：“虽然措辞严厉,但是中国却未取任何报复措施和举动,以打击驻扎在帕拉赛尔群岛的新月群岛(即西沙的永乐群岛――笔者注)上的南越海军部队。";"666";82
83;1959;"其后,中国政府又于1958年9月4日和1959年2月27日发表声明,重申中国对包括西沙、南沙群岛在内的南海诸岛享有合法主权。";"660";83
84;1959;"⑶然而,签署的和约笔墨还未干,日本就公然侵扰南海诸岛,1955年三四月间,有5艘日本船到西沙群岛进行非法活动；1956年6月6日,日本东京东洋贸易公司组织以小竹芳雄为首的勘察团擅自窜入南沙群岛进行非法勘测；1959年3月12日,日本渔船T-k5502号捣毁西沙群岛北岛中国渔民的房屋,劫走中国渔民财物。";"646";84
85;1959;"1959年3月,中共中央作出决定,指示广东省和海南行政区,在西沙群岛永兴岛正式成立县级政权机构“中国共产党西、南、中沙群岛工作委员会”（简称“西沙工委”）和“西、南、中沙群岛办事处”（简称“西沙办事处”）,其主要职责是领导开发建设南海诸岛,以加强对西沙、南沙、中沙群岛的行政管辖。";"663";85
86;1962;"1962年地图出版社出版的《中华人民共和国地图》确认南海断续线为9段,该图“是目前中国所有地图中海上传统海疆标准绘法的依据”,其划法延续至今。";"665";86
87;1966;"加上1966年颁布的《大陆架法》,马来西亚希望通过以上三大法令实现对南海的主权控制。";"686";87
88;1968;"⑦1961年菲律宾第一次公布的“领海基线法案”(即第3046号法案)和1968年修订的“领海基线法案”(即第5446号法案)也均未将南沙群岛包括在内。";"153";88
89;1968;"1968年,马来西亚政府将包括南康暗沙、北康暗沙和曾母暗沙在内共8万多平方公里的南沙海域划为其“矿区”,并出租给美国壳牌公司的子公司沙捞越壳牌公司钻探。";"683";89
90;1970;"①1970年以后的几年间,马来西亚钻探船多次在南康暗沙、北康暗沙和曾母暗沙进行非法钻探,并在曾母暗沙发现了储量达5000亿立方米、年产量达100亿立方米的大气田。";"684";90
91;1970;"1970年,马来西亚开始在南康暗沙和北康暗沙开发油气资源。";"845";91
92;1971;"1955年5月,美军飞机侵入西沙群岛领空,并闯入南沙群岛活动；1956年6月7日,美军第七舰队司令英格索尔公然叫嚣要阻挠中国行使对南沙群岛南威岛的主权；1957年5月,美军侵占南沙群岛三个岛屿,建立雷达站；1959年6月23日至1971年12月25日,美机、美舰入侵中国西沙群岛领空、领海达200余次。";"644";92
93;1971;"1971年7月10日,菲律宾政府指责台湾军舰在南沙群岛向一艘无武装的菲律宾海军船只“开火”,时任总统马科斯立即召开国家安全会议讨论南沙地位问题,并得出结论,即克洛马进行探险及占领过的53个岛屿属于菲律宾。";"185";93
94;1971;"②其实,早在1971年7月,菲律宾政府就已派出海军占领南沙群岛的南海礁、中业岛。";"186";94
95;1971;"1971年7月菲律宾总统马科斯发表声明,首次对南沙群岛提出正式的领土要求。";"842";95
96;1972;"②尤其是自1972年2月尼克松总统访华之后,中美关系迅速缓和,对于时隐时现的南海主权争议,美国多次申明对各方所提出的领土主权声索“不持特定立场”,基本上保持了较为中立的态度,尤其不愿为南海问题而影响与中国联手抗苏的关系。";"2";96
97;1973;"1973年9月,越南共和国将南沙群岛的一部分划归为一个行政单位,越南共和国政府至少在南沙群岛的五个岛屿上驻有军队。";"358";97
98;1973;"1973年9月,越南共和国将南沙群岛的一部分划归为一个行政单位,越南共和国政府至少在南沙群岛的五个岛屿上驻有军队。";"454";98
99;1974;"1974年,第三届第四次联合国海洋法会议在委内瑞拉召开,沿海国可拥有12海里领海及200海里经济海域的提案得到多数国家代表认同,并被列入海洋法公约草案,这为菲律宾巩固其南海权益主张增加了新的“依据”。";"149";99
100;1974;"到1974年时,菲律宾已经占领南沙群岛中的5个岛屿,分别是马欢岛、费信岛、西月岛、北子礁和中业岛。";"187";100
101;1974;"1974年中越西沙海战后,菲律宾驻联合国代表就事件询问中国代表。";"228";101
102;1974;"1974年双方交火的结果是,中国海军18名官兵英勇牺牲,67名参战人员受伤,389舰被击伤;中国共击沉南越海军护航舰一艘,击伤驱逐舰3艘,毙伤其“怒涛”号舰长及官兵一百余人,中国最终收复了甘泉岛?珊瑚岛和金银岛。";"263";102
103;1974;"比如,1974年,中国与南越伪政权因西沙争端发生冲突时,美国在南越当局一再请求下仍采取了不介入的中立立场。";"628";103
104;1974;"1974年,菲律宾将南海的礼乐滩租给瑞典石油公司进行勘探,共钻井37口,其中约有７口位于中国传统Ｕ形线内。";"670";104
105;1974;"1974年越南教育出版社出版的普通小学地理教科书（越南官方的教科书）指出：“从南沙群岛、西沙群岛到海南岛、台湾岛构成了保卫中国大陆的长城。";"896";105
106;1974;"1974年1月,在中国与南越政权爆发西沙海战并收复西沙诸岛之际,面对阮文绍(NguyenVanThieu)政府要求美国介入并提供援助的要求,美国国务院发表声明指出,南海争端“应由争议各方自行予以解决”,断然拒绝了“盟友”南越政府的求援。";"3";106
107;1974;"1974年1月26日,沙利文根据菲律宾的官方意见,致电国务院,恳请国务院授权他在《美菲共同防御条约》框架下征询菲律宾对南海诸岛的具体意图与对美方所需采取行动的期待等要求,并提出四点建议：“授权美军一旦菲律宾在南沙群岛遇袭立即作出‘行动’反应”；“强侦察力度以防止此类突袭的发生”；“制定包括警告中方如果对菲律宾采取军事行动将启动《美菲共同防御条约》等对华行动方针”。";"229";107
108;1974;"1974年1月31日,美国国务院回复沙利文的电报称：“我们仍在思考一旦菲律宾在南沙群岛遇袭美国采取行动的义务在《美菲共同防御条约》中的法律定位。";"230";108
109;1974;"例如1974年1月,中国人民解放军海军在西沙群岛对入侵的南越军队进行自卫反击战时,海峡两岸虽然处于紧张的敌对状态,但台湾当局仍发表声明强调,西沙和南沙群岛“为中国固有之领土,其主权不容置疑”。";"329";109
110;1974;"1974年1月17-20日,中国夺回了西沙群岛。";"359";110
111;1974;"1974年1月17-20日,中国夺回了西沙群岛。";"455";111
112;1975;"1971―1975年的几年之间,菲律宾在南海进行了一系列的地震探测,钻了大量的钻孔。";"189";112
113;1975;"然而,美国却从不提及相关国家“非法占有”岛礁的问题,以及越南1975年前后对南海权益截然不同的主张。";"562";113
114;1975;"1975年,越南开始提出对西沙、南沙群岛的主权要求,但并没有对断续线表示异议。";"839";114
115;1975;"越南对南沙岛礁的侵占始于1975年,迄今已占据29个岛礁,在其中的21个岛礁上派驻人员,驻扎部队,进行大规模工程建设。";"840";115
116;1975;"1975年4月11日,越南民主共和国夺取了在越南共和国军队控制下的六个南沙岛屿。";"362";116
117;1975;"1975年4月11日,越南民主共和国夺取了在越南共和国军队控制下的六个南沙岛屿。";"458";117
118;1976;"1976年,菲律宾与瑞典的一个石油公司合作在礼乐滩附近海域钻采石油。";"190";118
119;1976;"1976年,菲律宾总统马科斯借美国总统换届之机,以美军驻菲律宾基地为筹码向美方施加压力,敦促美国对《美菲共同防御条约》做出更明确的解释,以期获得美国军事支持其对南沙群岛领土主张的承诺。";"231";119
120;1976;"早在1976年,菲律宾就使阿莫科(Amoco)国际石油公司卷入在巴拉望近海南沙群岛礼乐滩的石油勘探,引起了中国和越南的抗议。";"873";120
121;1976;"1976年10月6日,基辛格与菲律宾外长罗慕洛举行秘密会议就《美菲共同防御条约》达成初步妥协：美国对菲律宾陆上安全的义务与争议性岛屿及海域区别对待,菲律宾不再在南海问题上牵扯美国。";"232";121
122;1976;"1976年6月14日,菲律宾政府正式公布与瑞典公司共同钻探南沙群岛礼乐滩(ReedTablemount)的计划,①以实际行动加入了南海油气开发的行列。";"144";122
123;1978;"1978年,菲律宾总统马科斯签署第1596号总统法令,将南沙群岛的33个岛、礁、沙、洲,面积达64976平方海里的海域声称为“菲律宾领土的一部分,并对之实施行政管理”。";"188";123
124;1978;"1978年6月菲律宾第1596号和1599号总统令,将南沙群岛的部分岛礁宣布为“卡拉延群岛”(KalayaanIslandGroup),划归菲律宾的专属经济区。";"843";124
125;1979;"马来西亚为了发展近海石油开发,将其海疆直接扩展到南沙海域之内,在1979年马来西亚新出版的一张领海和大陆架疆域图上,就把南沙海域东南部的12个小岛礁划为自己声称的范围。";"674";125
126;1979;"其中,标志性的事件有四件:一是1979年12月21日,马来西亚出版的马来西亚大陆架地图把南乐暗沙、校尉暗沙、司令礁、破浪礁、南海礁和安波沙洲一线以南的南沙群岛地区(包括12个小礁岩和环礁)划入马来西亚版图,对南沙群岛提出主权要求。";"685";126
127;1979;"1979年12月,马来西亚官方出版了一张大陆架图,将南沙群岛的部分岛礁和海域标在马来西亚大陆架范围之内。";"846";127
128;1980;"1980年,美国国防部在给国会的年度报告中几乎没有提及南海,只是在谈到苏联在金兰湾和舰港的利益以及南海将如何使“美国第七舰队在协防日本联络线的任务复杂化”时才谈到南海。";"456";128
129;1981;"自1981年起,马来西亚陆续占领南海争议岛礁。";"688";129
130;1982;"②自1982年《联合国海洋法公约》诞生以来,与中国存在南海权益争端的东盟各国非常善于灵活运用国际法依据。";"77";130
131;1982;"马来西亚指出,马来西亚和越南联合提交外大陆架划界法案是各方实施1982年《公约》的合理行为,符合《公约》的相关条款和《大陆架界限委员会议事规则》,马来西亚对于有关南海岛礁和海域争议的其他各国并没有偏见,在向大陆架委员会提交法案之前,马来西亚已经将自己的立场告知了中国。";"107";131
132;1982;"例如,在有关南海问题最重要的文件之一《南海各方行为宣言》中,中国与东盟各国确认以《联合国宪章》的宗旨和原则、1982年《联合国海洋法公约》、《东南亚友好合作条约》、和平共处五项原则,以及其他公认的国际法原则作为处理国家间关系的基本准则。";"121";132
133;1982;"“零号草案”在序言中做了如下表述:认识到对南海主权和管辖权争端的一项全面而持续的解决将有助于地区和平与稳定;强调为了在达致分歧和争端得到持久解决的同时维持南海作为一个和平?稳定?友好与合作的区域地位之目标,而进一步在南海促成一个和平?友好?和谐的环境的必要性;致力于通过和平方式,并且依据包括1982年《联合国海洋法公约》在内的公认国际法原则来处理分歧而不诉诸武力或者武力威胁;回顾各国依据包括《联合国海洋法公约》在内的国际法,所承担的保护南海环境特质及其生物多样性的义务;重视东盟以及中国领导人所做出的构建一项《南海行为准则》以维护南海和平与稳定的承诺。";"179";133
134;1982;"虽然越南在1978-1982年试图从中国手中夺取这些岛屿,但中国一直保持着对西沙群岛的有效控制。";"361";134
