"id";"year";"content";"number";"hassorted"
272;1995;"1995年5月26日,马哈蒂尔乘坐马来西亚伊加兰航空服务公司的“拉央拉央岛班机”,参加该班机首航弹丸礁的仪式,并在弹丸礁“过夜”。";"696";272
273;1995;"1995年5月,克林顿政府就中菲“美济礁事件”发表声明,宣称在南海“维护航行自由是美国的基本利益。";"712";273
274;1995;"1995年5月,克林顿政府发表《南沙群岛与南海政策声明》,①首次确认了美国在南海地区的利益及其在这一问题上的相关政策。";"725";274
275;1995;"1995年6月,美国国防部负责国际安全事务的副国务卿约瑟夫・奈在日本表示,如果南沙群岛发生军事行动并且妨碍了海上航行自由,美国就准备进行军事护航,以确保航行自由。";"637";275
276;1995;"②1995年8月,国务卿克里斯托弗在文莱再度表示,世界航运量的1/4要通过南海这一重要的海洋通道,亚太国家面临确保南海地区航行自由与稳定的挑战,而维护航行自由是美国的“基本利益”。";"13";276
277;1995;"实际上,中菲在1995年8月的一份关于南海问题的声明中就已经承诺要按照《联合国海洋法公约》的原则解决争议,该声明还提出争议应由直接有关国家解决。";"426";277
278;1996;"1995年美济礁事件和1996年台海危机引发了美国对中国和南海问题政策的微妙变化。";"234";278
279;1996;"1996年美国学者扬(ChristopherD．Yung)从中国海军发展战略的角度对中美在南海、东海等地区竞争主导权进行了深入研究。";"317";279
280;1996;"1996年,东盟外交部长在一项联合声明中号召把“南海行为准则”作为地区长期稳定的基础。";"372";280
281;1996;"1996年,东盟外交部长在一项联合声明中号召把“南海行为准则”作为地区长期稳定的基础。";"468";281
282;1996;"1996年雅加达东盟外长会议开始提出有必要制定南海行为准则。";"593";282
283;1996;"1996年12月,中美高层秘密会议涉及南海问题时,美国强调了对航行自由的态度及以《联合国海洋法公约》解决争端的原则。";"237";283
284;1996;"实际上,中国在1996年5月15日已经宣布,在西沙群岛采取直线基线。";"812";284
285;1997;"1997年亚洲金融危机及中国―东盟在“南海地区行为准则”（下述简称“行为准则”,COC）初次磋商过程中的交流与互动为中国―东盟全面对话关系建立后双方政治互信的增进提供了契机。";"249";285
286;1997;"早在1997年,美国和平研究所就提出一份名为《南海问题：预防外交的前景》的特别报告,建议将南海问题纳入美国战略利益考虑之中。";"618";286
287;1997;"2．1995～1997年,以1995年“美济礁事件”为标志,美国采取积极介入南海问题的政策,并表现出明显的干涉倾向。";"634";287
288;1997;"1997年,美国和平研究所起草了《开展预防性外交防止南海争端升级的特别报告》,报告强调美国在南海地区有其利益存在,称美国的南海政策必须包括两个方面：一是极力阻止任何一方采取单方面的军事解决行动；二是帮助所有争端方树立谈判解决问题的政治意愿。";"638";288
289;1997;"菲律宾占据了南海的９个岛屿和沙洲,并把南沙群岛的主体部分宣布为菲律宾的卡拉延群岛,建制卡拉延市,并于1997年提出主权要求,企图分割南海大约41万平方公里的海域。";"667";289
290;1997;"美国开始从亚太地区安全的角度重新审视南海争端,将其纳入1997年新美日安保指针的范围。";"756";290
291;1997;"1997年5月初,菲律宾出动侦察机和海军炮艇“吓退”在黄岩岛上开展活动的中外无线电业余爱好者。";"194";291
292;1997;"1997年5月中旬,一伙菲律宾议员登上黄岩岛,并竖起菲律宾国旗。";"195";292
293;1997;"1997年9月,“日美防卫合作指针”达成协议,将南海地区纳入安保范围,第一次透露了美国为南海地区利益可能做出的军事反应。";"238";293
294;1997;"1997年9月,美日就《日美防卫合作指针》达成协议,将南海地区纳入安保范围,第一次透露出美国为南海地区的利益可能做出的战略反应。";"567";294
295;1997;"1997年9月,美日就“日美防卫合作指针”达成协议,将南海地区纳入安保范围,第一次透露出美国为南海地区利益可能做出的战略反应。";"726";295
296;1998;"③在“南海地区行为准则”被提上日程后,东盟1998年在越南河内通过了“河内行动计划”,明确提出要建立地区行为准则。";"97";296
297;1998;"1998年,菲律宾挑起了第二次美济礁事件。";"384";297
298;1998;"1998年,菲律宾挑起了第二次美济礁事件。";"480";298
299;1998;"3．从1998年至今,美国把南海问题放到亚太安全战略的框架下,把介入南海问题作为遏制中国战略的重要组成部分。";"639";299
300;1998;"1998年《中华人民共和国专属经济区和大陆架法》第14条关于历史性权利的规定,清楚地表明了中国政府在南海断续线内问题上的立场,即:不因200海里专属经济区、大陆架等海洋区域制度的建立而影响、放弃中国在周边海域享有和可能享有的历史性权利。";"855";300
301;1998;"据1998年的统计资料显示,南海周边的东南亚国家已在南沙海域钻探了1000多口油气井,找到了97个油田和含油构造,95个气田和含气构造,其中位于中国断续疆域线以内的油田有28个、气井225个;石油总产量每天达200多万桶,主要开采国家为马来西亚、越南、印尼、文莱和泰国。";"869";301
302;1998;"当中国自1998年11月开始加固在美济礁的设施时,菲律宾要求东盟发表谴责性的联合声明的努力再次落空。";"67";302
303;1998;"然而,美国国防部1998年11月发布的《东亚及太平洋地区安全战略》(TheUnit\x1fedStatesSecurityStrategyfortheEastAsia-PacificRegion)完全没有提及南海问题。";"482";303
304;1998;"1998年12月在河内召开的第六次东盟峰会上,菲律宾被授予起草“南海行为准则”的任务。";"373";304
305;1998;"为此,国务卿克里斯托弗向菲律宾政府转达了他的要求,在菲律宾政府的安排下,1998年12月罗尔巴克尔搭乘菲律宾空军C-130飞机巡视了美济礁,并在之后展示了他拍摄到的中国军舰和中国在美济礁修建永久性设施的照片。";"385";305
306;1998;"1998年12月在河内召开的第六次东盟峰会上,菲律宾被授予起草“南海行为准则”的任务。";"469";306
307;1998;"为此,国务卿克里斯托弗向菲律宾政府转达了他的要求,在菲律宾政府的安排下,1998年12月罗尔巴克尔搭乘菲律宾空军C-130飞机巡视了美济礁,并在之后展示了他拍摄到的中国军舰和中国在美济礁修建永久性设施的照片。";"481";307
308;1998;"③邓小平说这番话的前一个月,即1998年3月14日,为响应联合国号召,在南沙建立科学观察站,中国海军在南沙赤瓜礁附近海域与越军展开激烈交战。";"446";308
309;1999;"⑤此后,马来西亚先后在1986年、1987年和1999年相继占领了安渡滩、南海礁、光星仔礁、南通礁和榆亚暗沙和簸箕礁。";"691";309
310;1999;"例如,早在1999年,澳大利亚外长多纳在东盟地区论坛曾就“南海行为准则”提出了一些非正式建议［29］。";"816";310
311;1999;"⑥1999年11月,由菲律宾、越南起草的“南海地区行为准则”草案被递交至东盟第三次非正式领导人峰会上讨论。";"87";311
312;1999;"③1999年2月11日,美国国务院副发言人詹姆斯?福利(JamesFoley)在一次新闻发布会上仍然表示,虽然中国在南海有主权争议的岛屿上进行建设是潜在的单边挑衅行为,但这种做法“远没有阻碍航行自由”,并且表示,“我们注意到有领土主权要求的国家过去在南海问题上的声明,包括1997年12月中国和东盟的联合声明,它们已经表示愿意通过和平方式并根据普遍承认的国际法来解决领土争端,包括1982年《联合国海洋法公约》。";"387";312
313;1999;"1999年2月12日在众议院国际关系委员会东亚和太平洋事务小组委员会举行的听证会上,美国负责亚太事务的助理国务卿斯坦利?罗斯(StanleyRoth)作证说,中国在南海的军力“并不是主要的安全威胁”。";"388";313
314;1999;"③1999年2月11日,美国国务院副发言人詹姆斯?福利(JamesFoley)在一次新闻发布会上仍然表示,虽然中国在南海有主权争议的岛屿上进行建设是潜在的单边挑衅行为,但这种做法“远没有阻碍航行自由”,并且表示,“我们注意到有领土主权要求的国家过去在南海问题上的声明,包括1997年12月中国和东盟的联合声明,它们已经表示愿意通过和平方式并根据普遍承认的国际法来解决领土争端,包括1982年《联合国海洋法公约》。";"483";314
315;1999;"1999年2月12日在众议院国际关系委员会东亚和太平洋事务小组委员会举行的听证会上,美国负责亚太事务的助理国务卿斯坦利?罗斯(StanleyRoth)作证说,中国在南海的军力“并不是主要的安全威胁”。";"484";315
316;1999;"实际上,对于南沙群岛能否采取直线基线的做法,我国台湾地区于1999年2月19日在公布的第一批“领海”基线表中确认南沙群岛全部岛礁为中国固有领土,而且确定其领海基线采直线基线和正常基线混合基线法划定,但有关基点名称?地理坐标及海图并没有公布。";"811";316
317;1999;"③1999年3月11日,负责公共事务的助理国务卿詹姆斯?鲁宾(JamesRubin)声明,美国的利益是在南海维持和平与稳定以及航行自由。";"389";317
318;1999;"③1999年3月11日,负责公共事务的助理国务卿詹姆斯?鲁宾(JamesRubin)声明,美国的利益是在南海维持和平与稳定以及航行自由。";"485";318
319;1999;"1999年5月,美国夏威夷东方研究中心研究员马克・瓦伦西亚在《远东日报评论》上撰文为菲律宾出谋划策,唆使菲律宾“将其声称对南沙岛礁拥有主权的法律依据公诸于众,并提议由国际法庭裁决”②之后,菲律宾曾威胁“如果中国继续在美济礁建造其设施”,它将就南沙问题寻求国际支持。";"929";319
320;2000;"对比1995-2000年间中越、中菲南海政策的协调成果,可以发现,中越、中菲在功能性问题上的共识基本处于同一水平。";"427";320
321;2000;"在2000年以前,中国与东南亚各国的南海地缘经济冲突主要以产品冲突、贸易冲突为主;在2000年以后,特别是近两三年来,则主要以资源冲突、汇率冲突为主。";"681";321
322;2000;"自2000年后,印度加强了同越南、印尼、马来西亚等国的军事联系,试图扩大对南海问题的发言权。";"878";322
323;2000;"④2000年1月7日,亚太事务助理国务卿罗斯同样强调,虽然在南沙群岛进行的军事设施建设是美国所担忧的,但它还没有构成对航行自由的阻碍和威胁,因为所有各方都表示它们不试图阻止国际航行自由。";"390";323
324;2000;"④2000年1月7日,亚太事务助理国务卿罗斯同样强调,虽然在南沙群岛进行的军事设施建设是美国所担忧的,但它还没有构成对航行自由的阻碍和威胁,因为所有各方都表示它们不试图阻止国际航行自由。";"486";324
325;2000;"早在2000年4月29日,菲律宾外交次长梅仁・马牙洛那就提出,把菲律宾的大陆架由目前的200海里延伸至350海里,以瓜分南海蕴藏的丰富石油。";"863";325
326;2000;"2000年5月24-25日在吉隆坡举行的第15次东盟与美国的对话中,美国官员指出,南海仍然是一个潜在的冲突之地。";"391";326
327;2000;"在中越、中菲围绕南海争端进行双边制度化的进程中,中国分别于1999年6月与马来西亚、2000年5月与印尼签署联合声明,表示要通过和平方式解决国际争端,共同维护南中国海的和平稳定。";"428";327
328;2000;"2000年5月24-25日在吉隆坡举行的第15次东盟与美国的对话中,美国官员指出,南海仍然是一个潜在的冲突之地。";"487";328
329;2000;"2000年7月,美国参加第七届东盟地区论坛的官员建议在讨论的问题中包括南海问题,并且建议,除了中国同东盟的对话之外,还应考虑采用其他有用的多边渠道。";"392";329
330;2000;"2000年7月,美国参加第七届东盟地区论坛的官员建议在讨论的问题中包括南海问题,并且建议,除了中国同东盟的对话之外,还应考虑采用其他有用的多边渠道。";"488";330
331;2001;"2001年九一一事件发生后,中美关系得到了改善,但该事件同时也对亚太地区产生了其他一些重要影响:美国加强了在南海的军事存在,开始了在中亚的军事存在,并加强了同印度的军事关系;此外,恐怖主义袭击扩大了日本和印度在南海的战略存在。";"393";331
332;2001;"2001年九一一事件发生后,中美关系得到了改善,但该事件同时也对亚太地区产生了其他一些重要影响:美国加强了在南海的军事存在,开始了在中亚的军事存在,并加强了同印度的军事关系;此外,恐怖主义袭击扩大了日本和印度在南海的战略存在。";"489";332
333;2001;"2001年3月,菲律宾时任总统阿罗约派遣特使杨应琳来华,表示菲律宾将遵守承诺,以和平方式,通过对话与协商,解决两国在南海问题上存在的分歧,菲律宾愿意为推进南海地区行为准则的制订做出积极努力。";"434";333
334;2002;"他指出,新加坡支持东盟和中国于2002年达成的《南海各方行为宣言》,认为该宣言是南海领域各方合作和保持稳定的重要信任措施,东盟与中国正在协商该宣言的落实纲领,新加坡希望各方就这些纲领尽快达成协议。";"61";334
335;2002;"相比之下,中国更倾向于主张依据国际法,结合历史与现实,通过多边路径来解决南海争端,2002年与东盟签订的《南海各方行为宣言》就充分体现了这一态度。";"126";335
336;2002;"中国倾向于通过多边路径来解决南海争端,这一态度最为明显的表现,就是2002年与东盟签署《南海各方行为宣言》(简称《宣言》)。";"130";336
337;2002;"因为其磋商是以中国为一方、以东盟为另一方进行的,其签署也是由这两方在2002年金边东盟首脑会上完成的；尽管当时每个东盟国家的代表都在《宣言》上面签署了自己的名字,但《宣言》在开头就说得很清楚:“中华人民共和国和东盟各成员国政府……谨发表如下宣言……”虽然可以肯定,东盟是对南海问题具有重要影响的一个区域性国际组织,但其毕竟不等于其成员国本身。";"131";337
338;2002;"还需要强调的是,中国与南海争端各方在2002年《南海各方行为宣言》中明确强调,依照《联合国宪章》、《联合国海洋法公约》以及其他公认的国际法原则来处理南海问题,可见中国就南海问题与相关国家进行谈判协商的基础不是经济实力或军事实力,而是包括《公约》在内的一般国际法原则与规则。";"138";338
339;2002;"2002年,中国与东盟签署《南海各方行为宣言》,各方承诺“在使争端复杂化或逐渐升级和影响和平与稳定的活动处理中实行自我克制,其中包括抑制在目前无人居住的岛、礁、滩、洲及其他地域的居住行动”等,缓解了南海地区的紧张局势。";"196";339
340;2002;"但是,截至2002年,菲律宾已在南海地区占据了“一席之地”,成为仅次于越南在南沙群岛驻扎部队最多的国家(如下表)。";"197";340
341;2002;"中国、东盟2002年签署的《南海各方行为宣言》不仅缓和了南海地区的紧张局势,也提出了“在争端全面与持久解决之前,有关各方可以寻求或进行合作活动”的倡议。";"198";341
342;2002;"①2002年《南海各方行为宣言》(以下简称《宣言》)的达成,很大一部分原因在于经济实力崛起的东盟的自信。";"311";342
343;2002;"菲律宾上述做法和声明严重违背了2002年《南海各方行为宣言》第5条规定的“各方承诺保持自我克制,不采取使争议复杂化、扩大化和影响和平与稳定的行动”,甚至连菲律宾国内舆论也认为“菲方就南海问题向中国发起强制仲裁程序不仅无助于问题的解决,而且将会导致菲中两国关系进一步恶化”。";"420";343
344;2002;"而且,1997年《中华人民共和国与东盟国家首脑会晤联合声明》(以下简称《声明》)和2002年《南海各方行为宣言》中确认了《公约》上述规定,事实上,菲律宾没有与中国就南海争端问题进行充分协商与谈判,在用尽磋商、谈判、交换意见、调解等程序之前,径行越过《公约》、1997年《声明》和2002年《南海各方行为宣言》的规定申请强制仲裁,违反了《公约》第281条和第286条规定义务。";"422";344
345;2002;"双方同意根据包括1982年《联合国海洋法公约》在内的公认的国际法准则,推动和平解决有关争议；双方一致同意尽快积极落实中国与东盟于2002年签署的《南海各方行为宣言》。";"435";345
346;2002;"①此外,越南国防部也不主张南海问题“国际化”,但是必须公开、透明,特别是要以2002年的《南海各方行为宣言》为基础达成行为准则。";"443";346
347;2002;"2002年签署的《南海各方行为宣言》是由于菲律宾和马来西亚等国反对,中国与东盟无法通过《南海地区行为准则》的一项政治妥协的产物。";"564";347
348;2002;"然而,这对南海主权争议矛盾的复杂性与尖锐性并没有实质影响,从2002年《南海各方行为宣言》签署至今,越南、菲律宾、马来西亚等国多达60余次违反这一宣言的状况来看,这一机制并不是解决南海问题切中要害的举措。";"565";348
349;2002;"例如,在东盟和中国于2002年签署的《南海各方行为宣言》中明确规定,“由直接有关的主权国家通过友好磋商和谈判,以和平方式解决它们的领土和管辖权争议。";"598";349
350;2002;"这在2002年与中国达成的《南海各方行为宣言》中得到重申。";"610";350
351;2002;"2002年,中国与东盟签署《南海各方行为宣言》；该宣言强调应本着合作与谅解的精神寻求建立相互信任的途径,加强海洋环保、搜寻与救助、共同打击跨国犯罪,为维护南海地区和平与稳定,促进开展更为务实的合作奠定了基础。";"642";351
352;2002;"世界权威能源咨询机构ＨＩＳ公司2002年的数据显示,南海上述周边四国已在中国Ｕ形线两侧钻各类探井1000多口,目前售出的合同区块共143个,区块总面积达26万平方公里,共发现约240个油气田,已探明石油可采量14.7亿吨,天然气4.1万亿立方米。";"668";352
353;2002;"但值得注意的新情况是,2002年《南海各方行动宣言》签订之后,只有中国恪守“共同开发”的诺言,其他国家纷纷抢占南海地盘,独自开发。";"682";353
354;2002;"2002年,东盟在落实《东盟南海宣言》的基础上,推动中国签署了《南海各方行为宣言》(DOC)。";"697";354
355;2002;"一方面,2002年《南中国海各方行为宣言》(DOC,以下简称《宣言》)的签订在为解决南海争端提供了政治基础的同时,也对南海安全形势“缓和”局面的形成产生了积极的影响;另一方面,菲律宾、越南等问题相关方近年来在南海主权争端方面采取的诸多单边行动,以及日本、印度等地区外力量加强对南海问题的介入,给南海安全形势带来了极为消极的影响。";"718";355
356;2002;"因此,美国与同样忧心忡忡的菲律宾和越南一直在积极鼓吹,要在2002年11月东盟与中国达成的《南海各方行为宣言》的基础上,制定“具有强制性约束力”的行为准则,试图以此对中国的行动自由加以限制,以免中国采取强硬的军事行动,改变“南海现状”。";"48";356
357;2002;"然而,东盟内部协商一致的成果并未得到中国的认可,东盟与中国在长达三年的协商过程中并未就“南海地区行为准则”达成一致,而是于2002年11月达成了一份对双方均具有妥协性的《南海各方行为宣言》。";"88";357
358;2002;"2002年11月,中国与东盟签署《南海各方行为宣言》(简称《宣言》)。";"176";358
359;2002;"2002年11月4日,中国和东盟10国在柬埔寨金边签署了《南海各方行为宣言》,该宣言包括四条基本原则:航行自由?自我克制?建立信任以及海上合作。";"261";359
360;2002;"2002年11月4日,中国和东盟10国在柬埔寨金边签署了《南海各方行为宣言》。";"272";360
361;2002;"在此基础上,2002年11月,中国进一步与东盟整体达成了《南海各方行为宣言》,把双边的制度化成果扩大为地区性共识。";"429";361
362;2002;"2002年11月,东盟与中国在柬埔寨金边签署《南海各方行为宣言》。";"594";362
363;2002;"中国与东盟各国于2002年11月达成的《南海各方行为宣言》是目前旨在保持南海地区和平的唯一框架文件,然而该宣言是各方妥协的结果,在内容和机制上相当不完备,例如没有提到地理范围、不能阻止各方在各自已经占领的岛礁上建立设施等等,在现实中已被证明失效。";"779";363
364;2002;"2002年11月,中国与东盟国家签署的《南海各方行为宣言》成为解决南海争端过程中具有里程碑意义的事件。";"794";364
365;2002;"2002年11月,中国与东盟签署了《南海各方行为宣言》,要求争端各方本着合作与谅解的精神,努力建立互信,保持自我克制,不采取使争议复杂化、扩大化和影响和平与稳定的行动。";"904";365
366;2002;"中国与东盟国家在2002年11月4日签署了《南海各方行为宣言》,各方均表示要保持自我克制,避免争端升级和复杂化影响地区和平和稳定。";"927";366
367;2002;"另据美国能源信息署2002年5月的资料,南海地区每天产出石油200万桶,每年产出天然气2．5亿立方英尺,其中文莱、马来西亚、菲律宾、越南、印度尼西亚5国每天产出石油合计152．5万桶,每年产出天然气1．8亿立方英尺,分别占总开采量的76．2%和72%(见表1)。";"677";367
368;2002;"2002年5月7日,菲律宾参议员罗伯特・贾沃斯基(RobertS.Jaworski)提出一项决议案,要求参议院专属委员会借提交外大陆架划界案之机,进一步巩固菲律宾对黄岩岛、卡拉延群岛以及南沙群岛其他部分岛礁的声称。";"864";368
369;2003;"④新加坡学者李泰(LeeLai)2003年就曾指出,虽然南海问题不是中美关系的重要议题,但由于意识到中国在东南亚迅猛增强的影响,借反恐战争机会,美国还是一方面加强同菲律宾等盟国的军事合作关系,另一方面也积极推动与东盟的经济合作,以维持美在该地区的主导地位。";"312";369
370;2004;"中菲相关协议也从来没有认为公约是确定中菲海洋权益的唯一依据,如《南海各方行为宣言》、中菲《关于21世纪双边合作框架的联合声明》、2004年中菲《联合新闻公报》。";"307";370
371;2004;"他提到2004年中国建议把2003年10月中国加入的《东南亚友好合作条约》变为“南海行为准则”,并建议在军事官员之间进行合作,还提到中国不久前与越南和菲律宾达成了在有争议的南沙群岛进行联合勘探的协议。";"394";371
372;2004;"他提到2004年中国建议把2003年10月中国加入的《东南亚友好合作条约》变为“南海行为准则”,并建议在军事官员之间进行合作,还提到中国不久前与越南和菲律宾达成了在有争议的南沙群岛进行联合勘探的协议。";"490";372
373;2004;"为此,美国同东南亚有关国家相继签署了一系列双边军事协定,1998年,美菲签订《部队访问协议》,2001年,美国“小鹰”号航母进驻新加坡樟宜军事基地,标志着美军自1992年撤出菲律宾苏比克湾以来开始重返东南亚,2002年的美菲《后勤互助保障协定》,使美军机和军舰可以自由出入菲领空和领海；自20世纪90年代中期以来,美国与东南亚国家在南海地区频繁举行军事演习,1999年达14次,2000～2002年共23次,2003年和2004年又陆续举行“肩并肩”、“金色眼镜蛇”、“卡拉特”等军事演习,尤其是美菲“肩并肩”军事演习,首次将演习地点定在有主权争议的南海海域。";"640";373
374;2004;"从南海开采的原油出口对越南的经济发展越来越重要,就以2004年来说,越南出口原油约196亿吨,总价值56.6亿美元。";"870";374
375;2004;"②这是继2004年11月中菲双方签署在南海共同研究油气资源协议的新进展。";"437";375
376;2005;"中菲2005年达成的南海合作本没有在菲律宾国内引起过多争议。";"287";376
377;2005;"中国外交部发言人提到南海问题的次数由2001年的２次增加到2004年的12次,2005年回落到４次,此后三年基本维持在这一水平。";"441";377
378;2005;"越南方面:2005年10月8日,中国总理温家宝访越时,两国签署了联合公报,双方承诺“在南海争端中保持克制,不采取单边行动恶化或者扩大争端”。";"910";378
379;2005;"③但2005年11月就发生了菲律宾无视中国对黄岩岛的主权,菲海警枪杀从事正常捕捞作业的中国渔民事件。";"433";379
380;2005;"2005年3月14日,来自南海争端矛盾较大的中、菲、越三国的石油公司在马尼拉签订《在南中国海协议区三方联合海洋地震工作协议》(以下简称《三方协议》)。";"719";380
381;2005;"2005年3月15日,中国、越南、菲律宾达成协议,对争议地区约1.4万平方千米的部分海域的油气资源进行共同开发,标志着南海相关争议方迈出了“搁置争议,共同开发”的第一步。";"795";381
382;2005;"尽管中国长期积极倡导在南海海域的共同开发,并促成中国海洋总石油公司与菲律宾国家石油公司于2004年9月1日签署“就南中国海中菲部分争议海域开展联合海洋地震工作协议”,又于2005年3月14日促成中、菲、越三国石油公司在马尼拉签署“在南海协议区三方联合海洋地震工作协议”,但这两个协议均无果而终。";"838";382
383;2005;"在2005年4月签署的联合声明中,双方对中菲越三国石油公司签订南海联合海洋地震工作协议表示欢迎。";"436";383
384;2006;"仲裁庭无视中菲南海争议的实质是领土争议并构成海域划界不可分割的组成部分,无视中菲双方已经选择通过双边谈判解决有关争议的共识,无视中国政府于2006年依据《公约》作出的排除性声明,完全不顾南海区域相关国家谈判解决争端的普遍愿望,完全不顾中国和相关国家为解决南海有关争端问题所作的努力和达成的共识,没有充分认识到菲律宾提起仲裁的行为违反了《南海各方行为宣言》所确定的和平解决争端的有关规定,滥用《公约》规定的仲裁程序,侵犯中方自行选择争端解决方式的权利。";"297";384
385;2006;"对黄岩岛法律地位的认定,直接关系到中、菲两国在黄岩岛海域的划界问题,属于中国2006年书面声明所排除的范围。";"423";385
386;2006;"在实体主张方面,菲律宾未直接要求仲裁庭解决中菲间存在的岛礁归属和海洋划界纠纷,而是要求仲裁庭对南海部分岛礁的法律地位进行判定、肯定菲律宾享有的海洋权利,以解释《公约》内容为幌子取得仲裁庭初步管辖权,企图绕开2006年8月25日中国向联合国秘书长提交的就《公约》第298条第1款(a)、(b)和(c)项所述的任何争端不接受《公约》第15部分第2节规定的任何国际司法或仲裁管辖的声明(以下简称“2006年排除管辖声明”)。";"417";386
387;2007;"2007年,菲律宾担任东盟轮值主席国,主持召开了东盟外长会议和东盟地区论坛,因此在当年南海问题不仅成为这两个会议的讨论内容,而且在会后发布的联合公报与主席声明中也有较大篇幅的描述。";"99";387
388;2007;"中国自2007年以来在南海地区的一系列“强势作为”均与其海军有关。";"541";388
389;2007;"这种独特的结构性依赖不仅说明中国南海的地缘经济处于明显的边缘地位,而且由于其出口贸易的持续增长主要是靠数量扩张而不是靠质量优势来维系的,所以中国南海的地缘经济容易受到外在经济动荡的直接冲击,典型的例子是1998年的亚洲金融危机和2007年美国次贷危机引发的世界性金融危机都在贸易、投资、汇率等方面对中国南海的地缘经济形成了直接或间接的冲击,加剧了中国南海地缘经济的脆弱性。";"676";389
390;2007;"为了保护这些利益,美国在南海地区也相应地采取了一系列遏制政策,包括:(1)加大介入的力度,防止中国成为南海地区占支配性地位的大国,特别是利用1998年亚洲金融危机和2007年美国次贷危机引发的世界性金融海啸的契机采取“附带政治条件的经济援助”的手段迫使东南亚国家开放资本市场、取消国家补贴,并按照自由市场模式改革金融体制,为美国占领南海周边地区市场和取得在政治上的主导权创造条件;(2)继续保持和加强在南海地区的军事存在。";"679";390
