cout,time,type
603,1992年7月,时间
37,2011年6月,时间
308,1995年,时间
733,2007年,时间
639,1998年,时间
78,2010年7月,时间
206,2011年3月25日,时间
809,2009年5月6日,时间
664,1959年,时间
788,2016年1月,时间
656,1954年7月23日,时间
679,1998年,时间
330,1988年3月,时间
381,1995年5月13日,时间
822,1948年2月,时间
549,2010年4月,时间
807,2016年,时间
683,1968年,时间
541,2007年,时间
465,1995年,时间
855,1998年,时间
755,1995年,时间
827,1983年4月25日,时间
128,1946年,时间
775,2002年,时间
393,2001年,时间
78,2013年6月,时间
68,2011年5月,时间
73,2011年,时间
225,2011年9月,时间
834,1951年3月8日,时间
483,1982年,时间
196,2002年,时间
258,2009年,时间
140,2011年9月,时间
849,1988年,时间
865,2009年2月2日,时间
370,1992年,时间
701,2010年3月,时间
1,1956年6月,时间
522,2010年4月,时间
283,2011年3月,时间
756,1997年,时间
502,2011年,时间
416,2014年12月7日,时间
594,2002年11月,时间
39,2011年7月22日,时间
720,2009年,时间
604,2012年4月4日,时间
210,2011年4月5,6日,时间
767,2010年,时间
165,2009年5月,时间
148,1956年,时间
608,2011年,时间
153,1968年,时间
13,1995年8月,时间
277,2012年4月,时间
551,2010年7月,时间
202,2011年4月5日,时间
219,2011年3月28日,时间
744,2009年5月,时间
153,1961年,时间
618,1997年,时间
218,2011年7月18日,时间
121,1982年,时间
628,1974年,时间
269,2009年5月,时间
44,2011年11月,时间
344,1933年,时间
517,2008年2月19日,时间
800,2010年8月8日,时间
188,1978年,时间
447,1995年,时间
590,1992年7月,时间
298,2014年12月7日,时间
738,2010年5月,时间
837,1983年4月24日,时间
488,2000年7月,时间
652,1956年6月15日,时间
303,1879年,时间
93,2003年10月,时间
559,2010年,时间
540,2010年,时间
324,2009年,时间
864,2002年5月7日,时间
716,2016年2月1日,时间
294,2016年7月12日,时间
38,2011年7月9日,时间
536,2010年,时间
560,2010年,时间
72,1992年,时间
452,1994年,时间
178,2014年5月10日,时间
691,1986年,时间
561,2009年,时间
617,2012年4月22日,时间
883,2010年,时间
323,2012年,时间
599,2011年7月,时间
184,1956年5月,时间
770,2011年,时间
551,2009年5月,时间
217,2011年6月28日,时间
643,1951年9月,时间
719,2005年3月14日,时间
851,2010年7月23日,时间
437,2004年11月,时间
365,1992年,时间
396,2010年,时间
267,1995年4月,时间
654,1951年9月,时间
252,2013年,时间
880,2009年3月15日,时间
189,1975年,时间
675,1983年,时间
637,1995年6月,时间
86,1995年,时间
554,2011年3月,时间
613,2012年9月,时间
723,2011年,时间
584,2010年,时间
81,2012年4月10日,时间
477,1995年5月13日,时间
56,2011年10月7日,时间
111,2013年1月,时间
782,2015年,时间
7,1995年5月10日,时间
848,1984年,时间
146,1946年,时间
812,1996年5月15日,时间
147,1951年,时间
45,2014年3月12日,时间
195,1997年5月中旬,时间
389,1999年3月11日,时间
250,2013年,时间
358,1973年9月,时间
165,2011年4月,时间
867,2007年6月,时间
16,2010年9月,时间
519,2010年,时间
698,2009年5月6日,时间
487,2000年5月,时间
831,1951年,时间
378,1992年,时间
399,2010年,时间
315,1990年,时间
660,1958年9月4日,时间
293,2013年1月22日,时间
270,2013年,时间
200,2010年6月,时间
871,2007年4月,时间
98,2010年,时间
130,2002年,时间
805,2015年7月,时间
40,2011年9月14日,时间
556,2011年3月,时间
839,1975年,时间
278,202年7月,时间
636,1995年5月,时间
783,2015年10月,时间
491,2009年,时间
27,2009年7月,时间
562,1975年,时间
168,2011年3月,时间
510,2010年7月,时间
141,1946年7月23日,时间
473,1995年5月10日,时间
191,1995年1月,时间
453,1994年7月,时间
372,1996年,时间
662,1958年,时间
640,1992年,时间
601,2012年6月21日,时间
290,2012年,时间
470,1995年2月,时间
475,1982年,时间
462,1995年,时间
748,2010年,时间
526,2009年,时间
170,2011年5月,时间
717,2016年1月31日,时间
726,1997年9月,时间
469,1998年12月,时间
569,2009年,时间
157,2011年,时间
709,2015年12月10日,时间
690,1983年9月4日,时间
886,2011年10月,时间
715,2014年,时间
644,1955年5月,时间
14,2009年3月,时间
907,2007年5月14日,时间
596,2012年7月,时间
440,2011年9月,时间
857,1995年,时间
622,2012年7月,时间
482,1998年11月,时间
564,2002年,时间
898,1949年,时间
281,2012年4月,时间
55,2010年12月10日,时间
923,2009年5月7日,时间
644,1959年6月23日,时间
254,2013年,时间
877,2009年7月2日,时间
179,1982年,时间
803,2015年12月,时间
306,1968年,时间
124,2009年,时间
421,2014年12月7日,时间
126,2002年,时间
538,2010年10月29日,时间
493,2010年,时间
606,2012年,时间
344,1934年,时间
96,1992年,时间
518,2009年3月,时间
672,2009年8月15日,时间
417,2006年8月25日,时间
706,2010年10月23日,时间
260,1992年,时间
82,1992年2月,时间
702,2010年7月26日,时间
299,1995年,时间
463,1990年,时间
859,1948年,时间
585,2012年7月,时间
592,1992年,时间
557,2011年3月9日,时间
419,2013年,时间
927,2002年11月4日,时间
677,2002年5月,时间
441,2005年,时间
521,2009年11月,时间
607,2009年4月,时间
245,2012年11月,时间
689,1983年,时间
861,2009年5月6日,时间
120,2011年,时间
630,1990年,时间
355,1999年,时间
268,1995年12月,时间
580,2002年,时间
781,2009年,时间
483,1999年2月11日,时间
710,2016年1月30日,时间
216,2011年6月7日,时间
763,2009年,时间
625,2012年9月,时间
496,2010年7月19,20日,时间
650,1950年5月,时间
431,2009年3月19日,时间
264,1992年7月,时间
127,1945年,时间
524,2010年7月,时间
815,2011年7月,时间
167,2011年,时间
704,2015年,时间
436,2005年4月,时间
888,2012年1月,时间
892,1992年,时间
847,1983年,时间
606,2002年,时间
241,2012年,时间
885,2011年,时间
238,1997年9月,时间
692,1991年,时间
205,2011年7月25日,时间
775,2011年,时间
474,1992年,时间
311,2002年,时间
198,2002年,时间
92,1995年,时间
387,1982年,时间
62,2011年,时间
523,2010年6月10日,时间
415,2013年8月27日,时间
688,1981年,时间
412,2009年5月,时间
384,1998年,时间
645,1951年9月8日,时间
255,2015年,时间
769,2009年,时间
740,2010年8月,时间
906,2009年4月25日,时间
922,2009年5月6日,时间
793,2010年7月23日,时间
392,2000年7月,时间
894,1958年9月4日,时间
414,1995年,时间
550,2010年5月,时间
589,1992年,时间
123,2013年,时间
826,1935年4月,时间
621,2012年9月,时间
155,2010年6月7日,时间
627,2011年,时间
115,2009年,时间
192,1995年3月,时间
647,1950年5月,时间
51,2011年7月,时间
116,2001年,时间
500,2010年7月21日,时间
282,2012年4月30日,时间
427,1995,2000年,时间
443,2002年,时间
53,2009年2月17日,时间
476,1995年5月16日,时间
435,2002年,时间
878,2000年,时间
791,2009年,时间
12,1995年5月,时间
430,1982年,时间
297,2006年,时间
180,2011年9月3日,时间
529,2010年9月,时间
464,1992年3月,时间
320,2009年,时间
627,2010年,时间
860,1949年,时间
149,1974年,时间
64,2012年,时间
681,2000年,时间
344,1935年,时间
695,1993年,时间
468,1996年,时间
409,2012年9月20日,时间
574,1988年3月,时间
869,1998年,时间
828,1994年4月20日,时间
697,2002年,时间
180,2011年8月29日,时间
807,2015年,时间
36,2014年6月26日,时间
134,2013年1月22日,时间
575,2008年,时间
207,2010年,时间
544,2010年12月,时间
896,1974年,时间
899,1947年,时间
731,2009年,时间
172,2011年6月17日,时间
391,2000年5月,时间
25,2014年7月11日,时间
669,2008年,时间
306,1994年10月18日,时间
714,2014年2月5日,时间
819,1935年4月,时间
265,1992年,时间
312,2003年,时间
588,1990年,时间
152,1955年,时间
512,1974年,时间
910,2005年10月8日,时间
332,1995年,时间
711,2009年5月,时间
343,1905年,时间
576,1988年,时间
924,2009年5月11日,时间
310,2016年7月12日,时间
587,1988年,时间
606,2011年,时间
355,2009年,时间
201,1948年,时间
868,2009年5月6日,时间
404,2010年7月21日,时间
838,2004年9月1日,时间
578,1994年,时间
417,2006年,时间
743,2010年,时间
534,2010年7月,时间
26,1995年5月,时间
795,2005年3月15日,时间
736,2010年,时间
872,2008年7月20日,时间
22,2014年5月2日,时间
540,2009年7月,时间
181,1948年,时间
415,2013年1月22日,时间
109,2011年4月5日,时间
676,1998年,时间
745,2009年,时间
302,2016年3月23日,时间
326,1948年,时间
930,2009年3月,时间
817,2011年6月,时间
580,2010年,时间
492,2010年,时间
543,2010年11月,时间
593,1996年,时间
259,2010年7月,时间
234,1996年,时间
900,2012年,时间
727,2010年7月,时间
780,2015年10月,时间
336,1835年,时间
2,1972年2月,时间
364,1992年2月,时间
842,1971年7月,时间
699,2009年6月,时间
339,1938年,时间
248,2010年,时间
680,1951年,时间
405,2011年6月14日,时间
60,2010年7月,时间
511,1959年,时间
400,2010年7月,时间
905,2007年4月,时间
224,2010年7月,时间
80,2013年6月,时间
769,2001年,时间
379,1982年,时间
43,2012年7月,时间
99,2007年,时间
749,2009年,时间
249,1997年,时间
696,1995年5月26日,时间
929,1999年5月,时间
420,2002年,时间
132,2009年3月10日,时间
28,2013年6月,时间
608,2010年,时间
644,1956年6月7日,时间
79,2012年4月10日,时间
410,2013年5月,时间
750,2009年,时间
879,2008年1月11日,时间
304,1879年,时间
780,2015年,时间
542,2030年,时间
76,2012年4月10日,时间
74,2013年9月,时间
34,2012年4月,时间
451,2009年,时间
304,1925年,时间
48,2002年11月,时间
823,1993年,时间
478,1995年,时间
862,2008年11月12日,时间
764,2011年,时间
459,1991年,时间
806,2015年7月,时间
634,1995年,时间
145,1988年,时间
485,1999年3月11日,时间
623,1995年,时间
606,1992年,时间
252,2013年1月,时间
199,2009年3月,时间
804,2016年2月,时间
657,1956年8月,时间
101,2013年1月,时间
778,2011年6月23日,时间
203,2011年6月7日,时间
104,2009年3月10日,时间
647,1951年,时间
535,2010年,时间
739,2010年,时间
211,2011年5月,时间
357,1994年7月,时间
768,2010年7月9日,时间
634,1997年,时间
20,2014年3月,时间
516,1992年8月5日,时间
635,1995年2月,时间
450,2010年7月,时间
413,2010年,时间
408,2012年8月2日,时间
15,2010年7月,时间
741,2009年,时间
558,2011年4月,时间
508,2009年5月,时间
113,2009年,时间
600,2012年7月,时间
445,2011年６月,时间
566,1995年5月,时间
830,1947年,时间
444,2011年5月,时间
455,1974年1月,时间
605,2012年6月,时间
760,2010年4月,时间
362,1975年4月11日,时间
69,2013年4月,时间
914,2007年3月,时间
418,2009年,时间
579,1988年,时间
108,2010年7月8日,时间
829,1946年,时间
442,2010年,时间
866,2007年4月,时间
65,2012年7月,时间
655,1951年8月15日,时间
208,2010年9月,时间
300,2011年,时间
525,2010年12月31日,时间
193,1995年5月,时间
50,2014年5月28日,时间
107,1982年,时间
335,1901年,时间
136,2012年,时间
735,2010年7月,时间
75,2013年1月,时间
231,1976年,时间
161,2009年,时间
796,2010年6月,时间
9,2014年2月,时间
334,1898年,时间
674,1979年,时间
705,2010年7月23日,时间
675,1986年,时间
766,2010年,时间
58,2010年,时间
790,2015年,时间
758,2009年10月,时间
691,1987年,时间
423,2006年,时间
546,2010年8月,时间
125,2009年,时间
83,1998年,时间
197,2002年,时间
118,2011年7月,时间
228,1974年,时间
54,2010年,时间
779,2002年11月,时间
576,1959年3月,时间
227,1956年6月26日,时间
874,2009年8月15日,时间
120,2001年,时间
772,2009年2月,时间
435,1982年,时间
87,1999年11月,时间
747,2010年,时间
338,1931年,时间
861,2009年5月7日,时间
100,2010年,时间
31,2013年6月5日,时间
773,2010年,时间
592,1995年,时间
451,1999年,时间
821,1947年,时间
640,2004年,时间
734,2009年3月,时间
841,2009年5月,时间
854,2009年,时间
91,1995年,时间
215,2011年3月初,时间
671,2009年3月,时间
377,1995年5月10日,时间
553,2011年2月,时间
434,2001年3月,时间
597,1992年,时间
472,1995年4月19日,时间
916,2009年3月10日,时间
287,2005年,时间
670,1974年,时间
47,2014年6月26日,时间
638,1997年,时间
784,2015年10月,时间
387,1999年2月11日,时间
765,2011年6月,时间
138,2002年,时间
3,1974年1月,时间
893,2009年,时间
284,2012年2月,时间
810,2012年4月10日,时间
811,1999年2月19日,时间
506,2013年5月,时间
387,1997年12月,时间
53,2009年2月2日,时间
194,1997年5月,时间
309,1994年,时间
63,2011年7月,时间
307,2004年,时间
547,2010年9月,时间
428,1999年6月,时间
813,2010年7月,时间
46,2014年4月7日,时间
430,2008年10月,时间
751,2010年,时间
868,2009年5月7日,时间
214,2011年2月,时间
707,2010年7月,时间
313,2009年,时间
471,1995年2月到7月,时间
257,2012年,时间
135,2011年,时间
187,1974年,时间
661,1956年7月7日,时间
119,2012年,时间
240,2009年,时间
582,2009年7月2日,时间
595,2011年7月20日,时间
117,2010年7月,时间
653,1958年9月4日,时间
581,2009年7月,时间
712,1995年5月,时间
256,2013年1月9日,时间
794,2002年11月,时间
917,2007年1月,时间
737,2009年,时间
163,2011年6月27日,时间
569,2001年,时间
648,1946年11月,时间
209,2011年3月7日,时间
424,1994年10月18日,时间
243,2012年4月10日,时间
846,1979年12月,时间
918,2007年11月,时间
722,2009年8月19日,时间
407,2012年,时间
684,1970年,时间
706,2010年7月,时间
498,2010年9月,时间
565,2002年,时间
29,2014年2月5日,时间
186,1971年7月,时间
835,1992年,时间
899,1914年,时间
785,2016年5月,时间
908,2008年8月11日,时间
479,1991年9月16日,时间
253,2013年4月23日,时间
173,2011年7月,时间
785,2015年10月,时间
666,1959年,时间
740,2010年11月,时间
103,2009年5月,时间
233,1994年1月,时间
19,2010年6月,时间
380,1995年5月16日,时间
644,1971年12月25日,时间
144,1976年6月14日,时间
632,1993年,时间
575,1994年,时间
551,1982年,时间
725,1995年5月,时间
499,2010年3月,时间
863,2000年4月29日,时间
466,1992年,时间
647,1953年,时间
774,2011年,时间
276,2014年2月,时间
143,1956年,时间
154,2010年6月,时间
272,2002年11月4日,时间
137,2009年,时间
797,2010年月8日,时间
913,2009年4月17日,时间
112,1905年,时间
174,2012年,时间
328,1989年7月,时间
777,2009年,时间
81,2013年6月,时间
291,2013年1月22日,时间
542,2010年3月,时间
640,2003年,时间
327,1949年,时间
801,2009年,时间
776,2010年10月30日,时间
41,2012年9月10日,时间
925,2009年3月16日,时间
175,2011年9月21日,时间
570,2013年12月5日,时间
67,1998年11月,时间
414,2010年7月,时间
331,1995年3月25日,时间
682,2002年,时间
571,1946年,时间
271,1995年,时间
668,2002年,时间
35,2013年9月18日,时间
66,1992年,时间
721,2009年3月9日,时间
909,2009年3月5日,时间
77,1982年,时间
280,2010年6月,时间
23,2014年5月6日,时间
164,2011年,时间
577,1990年,时间
85,2007年,时间
244,2012年10月,时间
528,2010年7月3日,时间
273,2012年1月,时间
514,1992年2月,时间
591,1995年3月,时间
262,2011年7月20日,时间
424,1898年12月10日,时间
497,2010年7月23日,时间
825,1958年,时间
612,2012年,时间
586,1992年,时间
286,2010年,时间
97,1998年,时间
820,1946年10月,时间
678,2009年,时间
454,1973年9月,时间
832,1951年2月17日,时间
548,2009年,时间
679,2007年,时间
73,1998年,时间
816,1999年,时间
629,1994年,时间
728,1982年,时间
663,1959年3月,时间
402,2010年9月,时间
202,2009年5月,时间
870,2004年,时间
61,2002年,时间
884,2011年,时间
6,1995年2月,时间
220,2011年9月7日,时间
388,1999年2月12日,时间
919,2009年5月16日,时间
26,1982年,时间
247,2012年4月30日,时间
640,1999年,时间
646,1955年,时间
921,2009年,时间
920,2009年6月8日,时间
230,1974年1月31日,时间
131,2002年,时间
745,2001年,时间
504,2012年8月2日,时间
116,2009年,时间
122,10月,时间
32,2012年6月12日,时间
881,2012年1月14日,时间
897,1949年,时间
824,2009年5月7日,时间
21,2014年4月3日,时间
694,1992年5月21日,时间
686,1966年,时间
626,2012年,时间
83,2011年,时间
14,2001年4月,时间
403,2010年3月,时间
190,1976年,时间
85,2020年,时间
762,2010年8月,时间
318,2012年,时间
429,2002年11月,时间
483,1997年12月,时间
645,1952年4月28日,时间
33,2013年12月17日,时间
520,2010年,时间
555,2011年3月9日,时间
836,1994年,时间
324,2009年5月13日,时间
221,2011年9月16日,时间
573,1982年,时间
513,1984年,时间
641,2010年7月,时间
646,1956年6月6日,时间
295,2016年7月13日,时间
616,2012年1月,时间
700,2009年8月,时间
308,2011年,时间
614,2011年7月27日,时间
309,1935年,时间
439,2001,2011年,时间
373,1998年12月,时间
261,2002年11月4日,时间
761,2009年7月15日,时间
703,2010年7月,时间
296,2016年7月21日,时间
649,1956年,时间
889,2009年,时间
4,1992年7月,时间
361,1982年,时间
729,1982年,时间
316,2009年,时间
620,2012年7月12日,时间
222,2011年,时间
490,2003年10月,时间
753,1784年,时间
713,2010年7月23日,时间
425,1990年8月,时间
530,2010年9月下旬,时间
212,2011年5月底,时间
895,1956年,时间
904,2002年11月,时间
537,2010年,时间
51,2011年11月,时间
95,1984年,时间
644,1957年5月,时间
246,2013年初,时间
81,2010年7月,时间
611,2012年7月,时间
718,2002年,时间
237,1996年12月,时间
507,2014年2月5日,时间
495,2010年,时间
428,2000年5月,时间
494,2010年,时间
156,2011年,时间
333,1934年,时间
665,1962年,时间
129,1947年,时间
568,2009年5月,时间
159,2011年,时间
512,1988年,时间
397,2010年,时间
84,2012年4月10日,时间
329,1974年1月,时间
844,2012年4月18日,时间
640,1998年,时间
598,2002年,时间
177,2012年9月,时间
341,1933年,时间
610,2002年,时间
631,1990年10月,时间
52,2014年3月6日,时间
658,1950年5月19日,时间
461,1992年,时间
531,2010年10月,时间
305,2016年3月23日,时间
55,2010年11月,时间
314,1984年,时间
80,2010年7月,时间
106,2009年5月7日,时间
759,2011年6月24日,时间
57,2011年6月21日,时间
285,2011年3月,时间
856,2009年,时间
182,1953年,时间
166,2011年8月5日,时间
111,1982年,时间
619,2010年,时间
915,2009年8月15日,时间
746,2009年7月,时间
325,2009年2月17日,时间
340,1933年,时间
177,2012年7月9日,时间
660,1959年2月27日,时间
183,1956年3月,时间
742,2007年,时间
42,2012年8月30日,时间
275,2012年4月11日,时间
861,2009年2月17日,时间
213,2011年9月22日,时间
185,1971年7月10日,时间
303,1925年,时间
239,2011年6月,时间
646,1959年3月12日,时间
748,2011年,时间
171,2011年5月底,时间
484,1999年2月12日,时间
505,2012年9月20日,时间
912,2008年7月20日,时间
11,1992年6月,时间
139,2011年,时间
236,1995年5月,时间
441,2004年,时间
301,2013年1月22日,时间
229,1974年1月26日,时间
226,1956年,时间
368,1992年3月,时间
133,2013年1月22日,时间
640,2001年,时间
223,2011年4月,时间
317,1996年,时间
687,1988年,时间
673,2011年4月5日,时间
71,2011年9月,时间
563,2010年,时间
374,1995年2月,时间
342,1937年,时间
724,2009年,时间
70,1995年,时间
88,2002年11月,时间
90,2011年5月,时间
274,2011年3月,时间
503,2012年,时间
114,2013年1月,时间
401,2010年7月23日,时间
891,1958年,时间
5,1994年7月26日,时间
457,1982年,时间
394,2004年,时间
319,2009年,时间
615,2010年,时间
708,2015年10月27日,时间
545,2010年2月,时间
926,2009年6月20日,时间
501,2011年6月14日,时间
707,2010年10月23日,时间
624,2012年,时间
647,1955年6月,时间
691,1999年,时间
651,1956年3月,时间
303,1929年,时间
234,1995年,时间
383,1991年9月16日,时间
656,1953年3月21日,时间
510,1995年,时间
456,1980年,时间
676,2007年,时间
833,1951年3月5日,时间
359,1974年1月,时间
633,1994年10月,时间
122,2013年9月,时间
887,2011年7月,时间
263,1974年,时间
376,1995年4月19日,时间
66,1995年,时间
642,2002年,时间
426,1995年8月,时间
446,1998年3月14日,时间
448,1994年,时间
390,2000年1月7日,时间
730,2009年,时间
142,1950年,时间
441,2001年,时间
322,2009年,时间
10,2014年5月13日,时间
458,1975年4月11日,时间
486,2000年1月7日,时间
176,2002年11月,时间
659,1950年1月29日,时间
8,2010年7月23日,时间
89,2009年,时间
802,2015年10月,时间
685,1979年12月21日,时间
509,2010年,时间
480,1998年,时间
151,1947年,时间
371,1992年7月,时间
394,2003年10月,时间
552,2011年1月5日,时间
422,2002年,时间
693,1984年4月18日,时间
288,2008年,时间
460,1992年2月,时间
905,2007年5月17日,时间
757,2010年7月23日,时间
532,2010年11月,时间
337,1933年,时间
336,1842年,时间
853,1935年4月,时间
928,2009年2月17日,时间
339,1932年,时间
93,2009年7月,时间
609,1982年,时间
110,2012年9月12日,时间
266,1993年,时间
385,1998年12月,时间
873,1976年,时间
321,1951年,时间
433,2005年11月,时间
732,2009年8月,时间
533,2010年,时间
59,2011年5月,时间
177,2012年7月20日,时间
169,2011年4月,时间
232,1976年10月6日,时间
527,2010年6月,时间
251,2013年,时间
840,1975年,时间
279,2013年1月,时间
354,2010年7月,时间
49,2014年2月17日,时间
838,2005年3月14日,时间
845,1970年,时间
852,1933年7月,时间
572,1994年,时间
369,1995年,时间
539,2009年,时间
17,1994年10月,时间
422,1997年,时间
467,1992年7月,时间
18,1995年5月10日,时间
911,2007年4月,时间
567,1997年9月,时间
160,2012年,时间
94,2009年,时间
489,2001年,时间
602,2012年9月,时间
786,2015年10月,时间
843,1978年6月,时间
135,2012年,时间
890,2009年,时间
449,1995年,时间
292,2013年1月22日,时间
490,2004年,时间
204,2011年3月2日,时间
784,2012年,时间
513,1988年,时间
515,1995年3月25日,时间
102,2009年5月,时间
799,2009年3月8日,时间
57,2011年,时间
150,2009年3月10日,时间
481,1998年12月,时间
235,1995年4月,时间
814,2010年9月15日,时间
242,2012年3,4月间,时间
640,2002年,时间
667,1997年,时间
583,1992年,时间
289,2009年2月,时间
162,2011年,时间
