cout,zj,type
544,宣示主权,证据主题
682,共同开发,证据主题
814,共同立场,证据主题
124,南海断续线,证据主题
777,军事演习,证据主题
29,主权声索,证据主题
77,国际法,证据主题
919,专属经济区,证据主题
502,中美关系,证据主题
281,军事演习,证据主题
324,专属经济区,证据主题
799,专属经济区,证据主题
855,专属经济区,证据主题
665,南海断续线,证据主题
118,历史先例,证据主题
674,大陆架,证据主题
777,联合军演,证据主题
929,法律依据,证据主题
106,大陆架,证据主题
430,国际法,证据主题
166,九段线,证据主题
929,国际法,证据主题
117,国际习惯法,证据主题
118,南海断续线,证据主题
517,共同开发,证据主题
489,中美关系,证据主题
617,主权声索,证据主题
269,大陆架划界,证据主题
856,国际法,证据主题
893,法律依据,证据主题
861,大陆架,证据主题
328,专属经济区,证据主题
179,管辖权,证据主题
102,法理依据,证据主题
851,国际习惯法,证据主题
823,九段线,证据主题
804,联合军事演习,证据主题
38,军事演习,证据主题
208,宣示主权,证据主题
488,多边渠道,证据主题
880,大陆架划界,证据主题
718,单边行动,证据主题
841,大陆架划界,证据主题
540,专属经济区,证据主题
29,国际法,证据主题
658,安全原则,证据主题
766,共同立场,证据主题
117,国际法,证据主题
521,多边化,证据主题
847,大陆架,证据主题
126,多边路径,证据主题
119,国际法,证据主题
314,共同开发,证据主题
117,权利主张,证据主题
312,中美关系,证据主题
598,管辖权,证据主题
123,主权声索,证据主题
513,主权权利,证据主题
38,联合军演,证据主题
421,国际法,证据主题
2,主权声索,证据主题
556,军事演习,证据主题
29,九段线,证据主题
838,共同开发,证据主题
108,国际法,证据主题
824,大陆架,证据主题
445,管辖权,证据主题
920,禁渔令,证据主题
575,共同开发,证据主题
132,管辖权,证据主题
630,管辖权,证据主题
116,专属经济区,证据主题
296,国际法,证据主题
616,主权声索,证据主题
908,宣示主权,证据主题
859,南海断续线,证据主题
603,管辖权,证据主题
215,战略伙伴,证据主题
851,地形地貌,证据主题
749,国际法,证据主题
495,军事演习,证据主题
113,南海断续线,证据主题
766,国际法,证据主题
105,管辖权,证据主题
7,主权声索,证据主题
56,战略伙伴,证据主题
651,主权牌,证据主题
325,大陆架,证据主题
115,南海断续线,证据主题
742,禁渔令,证据主题
108,南海断续线,证据主题
640,军事演习,证据主题
324,大陆架划界,证据主题
102,大陆架,证据主题
810,管辖权,证据主题
898,南海断续线,证据主题
126,国际法,证据主题
862,大陆架,证据主题
930,专属经济区,证据主题
817,共同立场,证据主题
851,权利主张,证据主题
152,国际法,证据主题
673,九段线,证据主题
483,单边挑衅,证据主题
105,大陆架划界,证据主题
923,大陆架,证据主题
843,专属经济区,证据主题
815,联合军事演习,证据主题
762,联合军演,证据主题
757,国际法,证据主题
203,大陆架,证据主题
116,管辖权,证据主题
856,大陆架划界,证据主题
475,国际法,证据主题
417,管辖权,证据主题
379,国际法,证据主题
851,主权主张,证据主题
416,管辖权,证据主题
393,中美关系,证据主题
40,国际法,证据主题
117,主权主张,证据主题
659,临近原则,证据主题
561,权利主张,证据主题
846,大陆架,证据主题
698,大陆架划界,证据主题
26,国际法,证据主题
130,多边路径,证据主题
118,国际法,证据主题
138,国际法,证据主题
849,大陆架,证据主题
863,大陆架,证据主题
113,主权主张,证据主题
898,权利主张,证据主题
795,共同开发,证据主题
828,宣示主权,证据主题
203,专属经济区,证据主题
851,国际法,证据主题
121,国际法,证据主题
268,国际法,证据主题
2,中美关系,证据主题
868,大陆架,证据主题
41,国际法,证据主题
910,单边行动,证据主题
573,国际法,证据主题
729,国际法,证据主题
577,共同开发,证据主题
315,共同开发,证据主题
548,大陆架划界,证据主题
15,国际法,证据主题
601,主权声索,证据主题
724,多边化,证据主题
179,国际法,证据主题
700,海洋划界,证据主题
证据编号,证据主题,证据主题
217,联合军事演习,证据主题
687,管辖权,证据主题
551,法律依据,证据主题
849,南海断续线,证据主题
225,多边化,证据主题
864,大陆架划界,证据主题
855,历史性权利,证据主题
104,主权声索,证据主题
786,权利主张,证据主题
824,主权权利,证据主题
125,单边主义,证据主题
103,大陆架法,证据主题
561,九段线,证据主题
132,大陆架,证据主题
34,联合军演,证据主题
52,九段线,证据主题
269,专属经济区,证据主题
647,主权牌,证据主题
47,国际法,证据主题
849,法律依据,证据主题
925,专属经济区,证据主题
746,专属经济区,证据主题
323,中美关系,证据主题
819,管辖权,证据主题
25,单边行动,证据主题
25,国际法,证据主题
28,历史依据,证据主题
121,和平共处五项原则,证据主题
106,管辖权,证据主题
387,国际法,证据主题
202,管辖权,证据主题
535,国际法,证据主题
44,联合军事演习,证据主题
46,九段线,证据主题
810,战略伙伴,证据主题
435,国际法,证据主题
728,国际法,证据主题
885,战略伙伴,证据主题
101,南海断续线,证据主题
750,大陆架划界,证据主题
109,管辖权,证据主题
106,主权权利,证据主题
30,国际法,证据主题
69,地区一体化,证据主题
93,多边机制,证据主题
117,海洋空间,证据主题
36,联合军事演习,证据主题
30,九段线,证据主题
751,多边化,证据主题
897,南海断续线,证据主题
561,国际法,证据主题
857,国界线,证据主题
824,管辖权,证据主题
118,法律依据,证据主题
899,南海断续线,证据主题
45,九段线,证据主题
117,地形地貌,证据主题
166,国际法,证据主题
62,国际法,证据主题
538,国际法,证据主题
483,国际法,证据主题
132,主权权利,证据主题
105,主权权利,证据主题
848,专属经济区,证据主题
877,大陆架划界,证据主题
851,海洋空间,证据主题
925,大陆架,证据主题
392,多边渠道,证据主题
387,单边挑衅,证据主题
922,大陆架划界,证据主题
514,主权权利,证据主题
809,大陆架,证据主题
399,军事演习,证据主题
609,国际法,证据主题
8,地形地貌,证据主题
848,南海断续线,证据主题
825,公海,证据主题
540,九段线,证据主题
145,共同开发,证据主题
421,管辖权,证据主题
918,直接管辖,证据主题
772,宣示主权,证据主题
687,大陆架,证据主题
897,宣示主权,证据主题
856,权利主张,证据主题
519,多边化,证据主题
326,管辖权,证据主题
417,海洋划界,证据主题
113,国际法,证据主题
774,主权声索,证据主题
531,国际法,证据主题
25,地形地貌,证据主题
855,南海断续线,证据主题
